x,y,z,Index
-21.85134,-167.38862,1367.0,1
25.588204123711,-188.77196185567,1367.0,2
-79.2796,-83.65174,1349.0,3
-72.18292,-77.96032,1325.0,4
-6.162663636364,-150.422218181818,1283.0,5
